event_title,description,start_datetime,end_datetime,source_url,image_url,is_free,price_eur,exclusive_performer,total_tickets,sold_tickets,is_priority,venue_id,category_id
Jazz Night Brussels,An intimate evening of contemporary jazz featuring emerging Belgian artists and international guests.,2026-06-10 20:00,2026-06-10 23:00,https://www.abconcerts.be,https://images.unsplash.com/photo-1415201364774-f6f0bb35f28f?w=800,false,24.99,Marcus Miller,200,176,true,1,1
BOZAR Summer Exhibition — Light & Space,A large-scale immersive exhibition exploring how artists manipulate light as a primary medium.,2026-06-01 10:00,2026-08-31 18:00,https://www.bozar.be,https://images.unsplash.com/photo-1594623274890-6b45ce7cf44a?w=800,false,12.00,,500,210,false,2,2
Pergamon — Wonders of the Ancient World,A landmark archaeology exhibition featuring the reconstructed Pergamon Altar and the Ishtar Gate.,2026-06-01 10:00,2026-09-30 18:00,https://www.smb.museum,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,false,16.00,,1000,430,false,7,3
Berlin Electronic Weekend,Three nights of underground electronic music across Berlin's most iconic venues.,2026-06-13 22:00,2026-06-15 06:00,https://www.berghain.berlin,https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=800,false,35.00,DJ Aphex Twin,800,784,true,6,1
Paris Opera Gala Night,A spectacular gala evening at the Palais Garnier celebrating 150 years of French opera.,2026-06-05 19:30,2026-06-05 23:00,https://www.operadeparis.fr,https://images.unsplash.com/photo-1507676184212-d03ab07a01bf?w=800,false,89.00,,400,388,true,4,6
Rijksmuseum Free Garden Concert,A free outdoor concert in the Rijksmuseum gardens featuring classical and folk musicians.,2026-06-25 14:00,2026-06-25 17:00,https://www.rijksmuseum.nl,https://images.unsplash.com/photo-1465847899084-d164df4dedc6?w=800,true,0,,600,210,false,8,1
BBC Proms Opening Night,The world-famous Proms season opens with a full orchestral programme at the Royal Albert Hall.,2026-07-18 19:30,2026-07-18 22:30,https://www.royalalberthall.com,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=800,false,45.00,,5000,3200,true,9,1
Louvre Late — Ancient Egypt,Special after-hours access to the Egyptian antiquities wing with guided tours and live music.,2026-06-22 18:00,2026-06-22 22:00,https://www.louvre.fr,https://images.unsplash.com/photo-1539650116574-8efeb43e2750?w=800,false,28.00,,300,267,true,5,3
MAS — Port of the World,Permanent exhibition tracing Antwerp's role as one of Europe's greatest trading ports.,2026-06-15 09:30,2026-06-15 17:00,https://www.mas.be,https://images.unsplash.com/photo-1548013146-72479768bada?w=800,false,14.00,,400,180,false,3,3
Brussels Auto Salon 2026,Europe's premier automotive exhibition showcasing the latest electric and hybrid vehicles.,2026-07-01 09:00,2026-07-07 18:00,https://www.autosalon.be,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=800,false,18.00,Ferrari LaFerrari XX,8000,6200,true,1,5
Design Week Milan — Belgian Pavilion,Belgium showcases its finest contemporary designers at the world's most prestigious design fair.,2026-07-06 10:00,2026-07-12 19:00,https://www.salonedelmobile.it,https://images.unsplash.com/photo-1558618047-f4e70e3d8a8a?w=800,false,22.00,,2000,890,false,2,2
Science Expo Brussels — AI & Robotics,An interactive exhibition exploring the future of artificial intelligence and robotics in daily life.,2026-07-10 10:00,2026-07-10 18:00,https://www.scienceexpo.be,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=800,false,19.00,,1000,420,false,1,4
